Restaurant Name,Rating,Price Range,Type of food,Phone,Address,Zipcode,City,State,Country,Website,Hours
Beer Factory,4.0,$$$$,"American, chicken wings",+52 55 5366 9651,Blvd. Manuel Avila Camacho No. 1007,54055,Tlalnepantla,México,MX,beerfactory.com,Mon 12:00 pm - 12:00 am; Tue 12:00 pm - 12:00 am; Wed 12:00 pm - 12:00 am; Thu 12:00 pm - 12:00 am; Fri 12:00 pm - 2:00 am; Sat 12:00 pm - 2:00 am; Sun Closed
Benny & Bark,,,"American, chicken wings",+52 81 216 79009,Av. José Vasconcelos 755,66220,Monterrey,Nuevo León,MX,bennyandbark.com.mx,Mon 1:00 pm - 2:00 am Open now; Tue 1:00 pm - 2:00 am; Wed 1:00 pm - 2:00 am; Thu 1:00 pm - 2:00 am; Fri 1:00 pm - 2:00 am; Sat 1:00 pm - 2:00 am; Sun 1:00 pm - 2:00 am
BigApple Restaurante,3.0,,"American, chicken wings",+52 999 912 1889,"C 47 553 Villas Zona Dorada, 102",97225,Mérida,Yucatán,MX,,
Bike’s Beer And Wings,4.0,$,"American, chicken wings",+52 222 169 0702,"Plaza Las Glorias, Calle 15 Sur 1507",72750,San Pedro Cholula,Puebla,MX,,Mon Closed; Tue 2:00 pm - 9:30 pm; Wed 2:00 pm - 9:30 pm; Thu 2:00 pm - 9:30 pm; Fri 2:00 pm - 9:30 pm; Sat 11:00 am - 9:30 pm; Sun 11:00 am - 7:00 pm Closed now
Boca 21 Deli,1.0,,"American, chicken wings",,"Av. Lopez Mateos #2375, Plaza del sol",45050,Zapopan,Jalisco,MX,,
Boca Grande Bbq,4.0,$$,"American, chicken wings",+52 55 6728 1752,Av. Campeche 346,06100,"México, D.F.",,MX,bocagrande.mx,Mon 1:00 pm - 11:00 pm; Tue 1:00 pm - 11:00 pm; Wed 1:00 pm - 11:00 pm; Thu 1:00 pm - 11:00 pm; Fri 1:00 pm - 11:00 pm; Sat 1:00 pm - 11:00 pm; Sun 1:00 pm - 9:00 pm Closed now
Bonito Pop Food,4.5,$$,"American, chicken wings",+52 55 5286 6169,"Av. Nuevo León 103, Col. Condesa",06100,"México, D.F.",,MX,bonito.com.mx,Mon 1:00 pm - 12:00 am; Tue 1:00 pm - 12:00 am; Wed 1:00 pm - 12:00 am; Thu 1:00 pm - 1:00 am; Fri 1:00 pm - 1:00 am; Sat 1:00 pm - 1:00 am; Sun 1:00 pm - 7:00 pm Closed now
Boston Street,5.0,,"American, chicken wings",+52 222 688 4118,"Av. Juarez 2302 B, Col. La Paz",72090,Heroica Puebla de Zaragoza,Puebla,MX,restaurantebst.com,Mon 7:00 am - 3:00 am; Tue 7:00 am - 3:00 am; Wed 7:00 am - 3:00 am; Thu 7:00 am - 3:00 am; Fri 7:00 am - 3:00 am; Sat 7:00 am - 3:00 am; Sun 7:00 am - 3:00 am Closed now
Bowie,1.0,,"American, chicken wings",+52 55 5550 0258,"Calz. Santa Catarina 207, Col. San Angel Inn",01060,"México, D.F.",,MX,bowie.com.mx,Mon 1:30 pm - 10:30 pm; Tue 1:30 pm - 11:00 pm; Wed 1:30 pm - 11:30 pm; Thu Closed; Fri Closed; Sat 1:30 pm - 11:30 pm; Sun 1:30 pm - 9:00 pm Closed now
Bronson Restaurant,,,"American, chicken wings",+52 33 141 34833,"Pedro Moreno 1212, Col. Americana",44160,Guadalajara,Jalisco,MX,bronsonrestaurant.com,Mon 1:00 pm - 11:00 pm; Tue 1:00 pm - 11:00 pm; Wed 1:00 pm - 11:00 pm; Thu 1:00 pm - 11:00 pm; Fri 1:00 pm - 1:00 am; Sat 1:00 pm - 1:00 am; Sun 1:00 pm - 1:00 am Closed now
B-T-K,4.0,,"American, chicken wings",,Hda. Xalpa,54769,Cuautitlán Izcalli,México,MX,,
Buffalo Hot Wings,3.0,,"American, chicken wings",+52 81 213 45000,"Av. Eugenio Garza Sada Sur 24415, Col. Tecnológico",64780,Monterrey,Nuevo León,MX,buffaloshotwings.com,Mon 12:30 pm - 12:00 am; Tue 12:30 pm - 12:00 am; Wed 12:30 pm - 12:00 am; Thu 12:30 pm - 12:00 am; Fri 12:30 pm - 1:00 am; Sat 12:30 pm - 1:00 am; Sun 12:30 pm - 12:00 am Closed now
Buffalo Wild Wings,4.0,$$,"American, chicken wings",,Camino a Villa de Santiago,,Monterrey,Nuevo León,MX,,
Buffalucas Alitas,4.0,$,"American, chicken wings",+52 477 712 2022,Blvd. Nicaragua 1001,37670,León,Guanajuato,MX,buffalucas.com,
Butchers & Sons,2.5,$$,"American, chicken wings",,"Calle Dr Mora 9, Col. Centro Histórico",06000,Ejido del Centro,D.F.,MX,,
California Pizza Kitchen,3.0,$$,"American, chicken wings",+52 55 1663 0412,"C. C. Lomas Verdescolina de la Paz, Blvd. Fraccionamiento",53140,Boulevares,México,MX,cpk.com.mx,Mon 1:00 pm - 11:00 pm; Tue 1:00 pm - 11:00 pm; Wed 1:00 pm - 11:00 pm; Thu 1:00 pm - 11:00 pm; Fri 1:00 pm - 1:00 am; Sat 1:00 pm - 1:00 am; Sun 1:00 pm - 11:00 pm Closed now
California Prime Rib,3.0,$$,"American, chicken wings",,"Blvd. Bernardo Quintana, Col. Centro Sur",,Centro Sur,Querétaro,MX,californiaprimerib.com.mx,
California Prime Rib,4.0,,"American, chicken wings",+52 461 613 2004,"Blvd. Manuel Avila Camacho 101, Tres Guerras",38080,Celaya,Guanajuato,MX,,
Campa’s Hamburguesas,,,"American, chicken wings",,"Av. Chapultepec 512 esq. Con Guadalajara, Condesa",16040,"México, D.F.",,MX,,
Carl’s Jr.,3.0,$,"American, chicken wings",,Av. Maestro Israel Cavazos Garza,67193,Rincón de Guadalupe,Nuevo León,MX,,
Chevy’s,3.0,,"American, chicken wings",,Blvd. Kukulcan S/N,77527,Cancún,Quintana Roo,MX,,Mon 11:00 am - 10:00 pm; Tue 11:00 am - 10:00 pm; Wed 11:00 am - 10:00 pm; Thu 11:00 am - 10:00 pm; Fri 11:00 am - 10:00 pm; Sat 11:00 am - 10:00 pm; Sun 11:00 am - 10:00 pm Closed now
Chicken Chick,,,"American, chicken wings",,"Victor Hugo 48, Col. Anzures",11590,"México, D.F.",,MX,,
Chili’s,,,"American, chicken wings",+52 72 828 46036,"Carretera Toluca - México km. 50, Col. La Isla, Local AL-07",52005,Lerma de Villada,México,MX,chilis.com.mx,Mon 11:00 am - 10:00 pm; Tue 11:00 am - 10:00 pm; Wed 11:00 am - 10:00 pm; Thu 11:00 am - 10:00 pm; Fri 11:00 am - 10:00 pm; Sat 11:00 am - 10:00 pm; Sun 11:00 am - 10:00 pm Closed now
Chili’s,,,"American, chicken wings",+52 81 833 30472,"Av. Insurgentes 2500, Col. Vista Hermosa",67180,Monterrey,Nuevo León,MX,chilis.com.mx,Mon 9:00 am - 11:00 pm; Tue 9:00 am - 11:00 pm; Wed 9:00 am - 11:00 pm; Thu 9:00 am - 11:00 pm; Fri 9:00 am - 12:00 am; Sat 9:00 am - 12:00 am; Sun 9:00 am - 11:00 pm Closed now
Chili’s,,,"American, chicken wings",,"Av. Cuauhtémoc 462, Col. Piedad Narvarte",03000,Ciudad de México,Aguascalientes,MX,chilis.com.mx,
Chili’s,5.0,$$,"American, chicken wings",+52 55 9129 0210,"Plaza Tezontle, Canal de Tezontle 1512",09010,"México, D.F.",,MX,chilis.com.mx,Mon 12:00 pm - 11:00 pm; Tue 12:00 pm - 11:00 pm; Wed 12:00 pm - 11:00 pm; Thu 12:00 pm - 1:00 am; Fri 12:00 pm - 1:00 am; Sat 12:00 pm - 12:00 am; Sun 11:00 am - 10:00 pm Closed now
Chili’s,4.5,$$,"American, chicken wings",+52 999 167 9539,"Plaza Altabrisa, Calle 7 451",97133,Mérida,Yucatán,MX,chilis.com.mx,Mon 8:00 am - 11:00 pm; Tue 8:00 am - 11:00 pm; Wed 8:00 am - 11:00 pm; Thu 8:00 am - 11:00 pm; Fri 8:00 am - 12:00 am; Sat 8:00 am - 12:00 am; Sun 8:00 am - 11:00 pm Open now
Chilindrines,3.0,,"American, chicken wings",,Los Cedros 4205,64370,Monterrey,Nuevo León,MX,,
Chilli’s,4.5,$$,"American, chicken wings",+52 222 224 2825,"Centro Comercial Galerías Serdán, Blvd. Hermanos Serdán 270",72062,Heróica Puebla de Zaragoza,Puebla,MX,chilis.com.mx,Mon 12:00 pm - 11:00 pm; Tue 12:00 pm - 11:00 pm; Wed 12:00 pm - 11:00 pm; Thu 12:00 pm - 1:00 am; Fri 12:00 pm - 1:00 am; Sat 12:00 pm - 1:00 am; Sun 12:00 pm - 10:00 pm Closed now
Chilli’s,3.0,$$,"American, chicken wings",+52 55 5557 3623,"Ejército Nacional 980, POlanco",03100,"México, D.F.",,MX,chilis.com.mx,
Chilli’s,3.0,$$,"American, chicken wings",+52 55 1664 6236,"C. C. Santa Fe, Av. Vasco de Quiroga 3800, Col. Antig\xfca Mina de Totolapa",05109,"México, D.F.",,MX,chilis.com.mx,
Chilli’s,,$$,"American, chicken wings",+52 55 5349 1132,"Paseo de Lomas Verdes 1200, Col. Lomas Verdes",53126,Naucalpan de Juárez,México,MX,chilis.com.mx,Mon 12:00 pm - 11:00 pm; Tue 12:00 pm - 11:00 pm; Wed 12:00 pm - 11:00 pm; Thu 12:00 pm - 1:00 am; Fri 12:00 pm - 1:00 am; Sat 12:00 pm - 1:00 am; Sun 12:00 pm - 10:00 pm Closed now
Chilli’s,4.0,,"American, chicken wings",,"Av. Lazaro Cardenas 1000, Col. Valle del Mirador",64620,Monterrey,Nuevo León,MX,chilis.com.mx,
Chilli’s,3.0,$,"American, chicken wings",,Av. Miguel Aleman 4120,64590,Guadalupe,Nuevo León,MX,chilis.com.mx,
Chilli’s,,,"American, chicken wings",+52 33 363 14258,"Plaza Ciudadela, Av. Labná 1437, Col. Jardines del Sol",45050,Zapopan,Jalisco,MX,chilis.com.mx,Mon 12:00 pm - 11:00 pm; Tue 12:00 pm - 11:00 pm; Wed 12:00 pm - 11:00 pm; Thu 12:00 pm - 11:00 pm; Fri 12:00 pm - 12:00 am; Sat 12:00 pm - 12:00 am; Sun 12:00 pm - 11:00 pm Closed now
Chilli’s,,,"American, chicken wings",,"Av. el Iman 15, Col. Pedregal de Carrasco",01060,"México, D.F.",,MX,,
Chilli’s,,$$$,"American, chicken wings",,Calz. Vallejo 850,02340,Ciudad de México,D.F.,MX,chilis.com.mx,
Chilli’s,5.0,,"American, chicken wings",+52 222 243 7326,"C. C. Plaza Dorada, Blvd Héroes del 5 de Mayo 1320",72534,Heroica Puebla de Zaragoza,Puebla,MX,chilis.com.mx,Mon 12:00 pm - 11:00 pm; Tue 12:00 pm - 11:00 pm; Wed 12:00 pm - 11:00 pm; Thu 12:00 pm - 1:00 am; Fri 12:00 pm - 1:00 am; Sat 12:00 pm - 1:00 am; Sun 11:00 am - 10:00 pm Closed now
Chilli’s,3.0,,"American, chicken wings",+52 55 5510 3327,"Av. Juárez 30, Col. Centro",16610,"México, D.F.",,MX,chilis.com.mx,Mon 11:00 am - 11:00 pm; Tue 11:00 am - 11:00 pm; Wed 11:00 am - 11:00 pm; Thu 11:00 am - 1:00 am; Fri 11:00 am - 1:00 am; Sat 11:00 am - 1:00 am; Sun 11:00 am - 11:00 pm Open now
Chiltepino´s Wings,3.0,,"American, chicken wings",+52 222 294 8016,Circuito Juan Pablo II 1718,72430,Puebla,,MX,,
Cocina Magy,5.0,,"American, chicken wings",,Av. 22 Poniente 3330,72070,Puebla,,MX,,
Comic Wings,,,"American, chicken wings",,Oriente 168 356,15530,"México, D.F.",,MX,,
Comicx,3.5,$$,"American, chicken wings",,Blvd. Agua Caliente 10387 Plaza Paseo Chapultepec,22020,Tijuana,Baja California,MX,comicx.com.mx,
ComicX,1.0,$$,"American, chicken wings",+52 55 9155 7503,"Av. Gustavo Baz Prada S/N, Col. Tlalnepantla",54030,Tlalnepantla,México,MX,comicx.com.mx,Mon 12:00 pm - 11:00 pm; Tue 12:00 pm - 11:00 pm; Wed 12:00 pm - 11:00 pm; Thu 12:00 pm - 11:00 pm; Fri 12:00 pm - 11:00 pm; Sat 12:00 pm - 11:00 pm; Sun 12:00 pm - 11:00 pm Closed now
Comicx Central Park,,,"American, chicken wings",+52 44 222 91666,"Blvd. Bernardo Quintana 7000, Col. Centro Sur",76090,Santiago de Querétaro,Querétaro,MX,,
Country Ribs Metepec,4.0,$$,"American, chicken wings",+52 72 223 29454,Paseo de San Isidro 379,52140,Metepec,México,MX,,Mon 1:00 pm - 11:00 pm; Tue 1:00 pm - 11:00 pm; Wed 1:00 pm - 11:00 pm; Thu 1:00 pm - 2:00 am; Fri 1:00 pm - 2:00 am; Sat 1:00 pm - 2:00 am; Sun 1:00 pm - 12:00 am Closed now
Coyote Food Truck,5.0,,"American, chicken wings",,"Av. Anillo Periferico, Colonia Colinas de San Jeronimo",,Monterrey,Nuevo León,MX,,Mon Closed; Tue 1:00 pm - 10:00 pm; Wed 1:00 pm - 10:00 pm; Thu 1:00 pm - 10:00 pm; Fri 1:00 pm - 11:00 pm; Sat 1:00 pm - 11:00 pm; Sun 1:00 pm - 10:00 pm Closed now
Denny’s,4.0,$,"American, chicken wings",+52 656 618 3543,Av. Tecnológico 1770,,Juárez,Chihuahua,MX,dennys.com,Mon 6:00 am - 12:00 am; Tue 6:00 am - 12:00 am; Wed 6:00 am - 12:00 am; Thu 6:00 am - 12:00 am; Fri 6:00 am - 12:00 am; Sat 6:00 am - 12:00 am; Sun 6:00 am - 12:00 am Closed now
Diner,,,"American, chicken wings",,"Cuauhtémoc 147, Col Coyoacan",08220,"México, D.F.",,MX,,
Don Grill,,,"American, chicken wings",,"Amores esq. Xola, Del Valle",03100,"México, D.F.",,MX,,
Don Papas,3.0,,"American, chicken wings",+52 664 250 0782,Blvd. Cochimies 12610 int. 8 3ra etapa zona rio,,Tijuana,Baja California,MX,,
Drunken Duck,5.0,,"American, chicken wings",,"Av. Mexico S/N, Col. Centro",63732,Bucerias,Nayarit,MX,,
Dusk,,,"American, chicken wings",,"Pennsylvania 124, Col. Nápoles",03810,Ciudad de México,D.F.,MX,,Mon Closed; Tue Closed; Wed 2:00 pm - 2:00 am; Thu 2:00 pm - 2:00 am; Fri 2:00 pm - 2:00 am; Sat 2:00 pm - 2:00 am; Sun Closed
Eat At Davids,4.5,$,"American, chicken wings",+52 322 110 0696,"Aquiles Serdan 380, Col. Emiliano Zapata",48380,Puerto Vallarta,Jalisco,MX,,
El Bull Pen,,,"American, chicken wings",+52 999 114 9595,Calle 19 128,97336,Chelem,Yucatán,MX,beachapartmentschelem.com,Mon Closed; Tue 5:00 pm - 10:00 pm; Wed 5:00 pm - 10:00 pm; Thu 5:00 pm - 10:00 pm; Fri 5:00 pm - 10:00 pm; Sat Closed; Sun Closed
El Gran Chef,4.5,,"American, chicken wings",+52 664 383 5131,"Calle Once, Col. Zona Centro",22000,Zona Centro,Baja California,MX,,Mon 8:00 am - 5:00 pm; Tue 8:00 am - 5:00 pm; Wed 8:00 am - 5:00 pm; Thu 8:00 am - 5:00 pm; Fri 8:00 am - 5:00 pm; Sat 8:00 am - 3:00 pm; Sun 8:00 am - 3:00 pm Closed now
El Mexicanito,3.5,,"American, chicken wings",+52 55 3628 2921,"Medellin 101, Col. Roma Norte, Cuauhtémoc",06700,"México, D.F.",,MX,,Mon 11:00 am - 10:00 pm; Tue 11:00 am - 10:00 pm; Wed 11:00 am - 10:00 pm; Thu 11:00 am - 10:00 pm; Fri 11:00 am - 10:00 pm; Sat 11:00 am - 10:00 pm; Sun Closed
El Papalote Taco \xa0Grill,4.0,,"American, chicken wings",,"Avenida Insurgentes Sur #1672, Florida, Álvaro Obregón",01030,"México, D.F.",,MX,,
El Pueblo del Oeste,3.0,,"American, chicken wings",,"López Mateos Sur 5970, Col. Bugambilias",45070,Zapopan,Jalisco,MX,,Mon Closed; Tue 1:00 pm - 12:00 am; Wed 1:00 pm - 12:00 am; Thu 1:00 pm - 12:00 am; Fri 1:00 pm - 12:00 am; Sat 1:00 pm - 12:00 am; Sun 1:00 pm - 12:00 am Closed now
Embers,4.5,$$,"American, chicken wings",,Av. Ejército Nacional 840,11560,"México, D.F.",,MX,,Mon 1:00 pm - 10:00 pm; Tue 1:00 pm - 10:00 pm; Wed 1:00 pm - 10:00 pm; Thu 1:00 pm - 10:00 pm; Fri 1:00 pm - 10:00 pm; Sat 1:00 pm - 10:00 pm; Sun 1:00 pm - 10:00 pm Closed now
Flap’s,2.5,$$,"American, chicken wings",+52 55 5802 8012,"Aeropuerto Internacional de la Ciudad de México, Terminal 1",15620,"México, D.F.",,MX,,
Fonda Americana Grill,5.0,,"American, chicken wings",+52 998 208 9026,Av. Joaquin Zetina Gasca,77580,Puerto Morelos,Quintana Roo,MX,,
Food Nation,4.0,$,"American, chicken wings",+52 33 198 39714,"Calle Joaquín Angulo 1503-A, Col. Santa Teresita",44600,Guadalajara,Jalisco,MX,,Mon 1:30 pm - 10:00 pm; Tue 1:30 pm - 10:00 pm; Wed 1:30 pm - 10:00 pm; Thu 1:30 pm - 10:00 pm; Fri 1:30 pm - 10:00 pm; Sat 1:30 pm - 10:00 pm; Sun Closed
Franco,5.0,$,"American, chicken wings",+52 44 221 80621,Av. 5 de Febrero 412,76160,Santiago de Querétaro,Querétaro,MX,fran-co.mx,Mon 8:00 am - 6:00 pm; Tue 8:00 am - 6:00 pm; Wed 8:00 am - 12:00 am; Thu 8:00 am - 12:00 am; Fri 8:00 am - 12:00 am; Sat 8:00 am - 12:00 am; Sun 8:00 am - 12:00 am Open now
Frank & Stein´S,3.5,,"American, chicken wings",+52 81 833 25252,Rio Grijalva Norte 210,66220,Linares,Nuevo León,MX,,
Franks & Stein’s,3.0,,"American, chicken wings",,"Rio Grijalva 201, Col. del Valle",66220,Monterrey,Nuevo León,MX,,
Freddy’s Smokehouse Ribs,4.5,$$,"American, chicken wings",+52 222 571 8432,"Camino Real a Cholula #4205, San Pedro Cholula",72190,Puebla,,MX,,
Frikys,,,"American, chicken wings",+52 477 312 0168,"5 de Febrero 407, Col. Centro",37000,León,Guanajuato,MX,,Mon Closed; Tue Closed; Wed 2:30 pm - 10:30 pm; Thu 2:30 pm - 10:30 pm; Fri 2:30 pm - 10:30 pm; Sat 2:30 pm - 10:30 pm; Sun 2:30 pm - 10:30 pm Closed now
fuddruckers,2.5,,"American, chicken wings",,Calle 22,,Mérida,Yucatán,MX,,
Guy Fieri’s,2.5,$$,"American, chicken wings",+52 998 148 8643,"Aeropuerto Internacional de Cancún, Carretera Cancún-Chetumal Km 22",77500,Cancún,Quintana Roo,MX,guyfieri.com/restaurants/guy-\u2026,Mon 5:00 am - 10:00 pm; Tue 5:00 am - 10:00 pm; Wed 5:00 am - 10:00 pm; Thu 5:00 am - 10:00 pm; Fri 5:00 am - 10:00 pm; Sat 5:00 am - 10:00 pm; Sun 5:00 am - 10:00 pm Open now
Guy Fieri’s Playa Del Carmen,3.5,$$,"American, chicken wings",+52 984 803 0761,"Calle 22 Norte 8, Col. Centro",77720,Playa del Carmen,Quintana Roo,MX,guyfieri.com,Mon 11:00 am - 12:00 am; Tue 11:00 am - 12:00 am; Wed 11:00 am - 12:00 am; Thu 11:00 am - 12:00 am; Fri 11:00 am - 12:00 am; Sat 11:00 am - 12:00 am; Sun 11:00 am - 12:00 am Closed now
Hamburguesas,3.0,,"American, chicken wings",,"Calzada del Hueso 934, Granjas Coapa",14330,"México, D.F.",,MX,,Mon 7:00 pm - 11:00 pm; Tue 7:00 pm - 11:00 pm; Wed 7:00 pm - 11:00 pm; Thu 7:00 pm - 11:00 pm; Fri 7:00 pm - 11:00 pm; Sat 7:00 pm - 11:00 pm; Sun Closed
Hamburguesas HM,3.5,,"American, chicken wings",+52 55 5254 8429,"Euler 152 Local E, Col. Chapultepec Morales",11570,"México, D.F.",,MX,hamburguesashm.com,Mon 12:30 pm - 7:30 pm; Tue 12:30 pm - 7:30 pm; Wed 12:30 pm - 7:30 pm; Thu 12:30 pm - 7:30 pm; Fri 12:30 pm - 7:30 pm; Sat 12:30 pm - 8:30 pm; Sun 12:30 pm - 8:30 pm Closed now
Hansens Restaurant,5.0,,"American, chicken wings",,Calz. de la Aurora 12,,San Miguel de Allende,Guanajuato,MX,,Mon Closed; Tue Closed; Wed Closed; Thu 1:00 pm - 10:00 pm; Fri 1:00 pm - 10:00 pm; Sat 1:00 pm - 10:00 pm; Sun Closed
Happy Chicken,2.5,,"American, chicken wings",,Av. Kukulcan Km 19.5,77517,Cancún,Quintana Roo,MX,,
Happy Dog,4.5,$$,"American, chicken wings",,Blvd. Acapulco 3940,64790,Monterrey,Nuevo León,MX,,Mon 8:00 am - 8:00 pm; Tue 8:00 am - 8:00 pm; Wed 8:00 am - 8:00 pm; Thu 8:00 am - 8:00 pm; Fri 8:00 am - 8:00 pm; Sat 8:00 am - 8:00 pm; Sun 8:00 am - 8:00 pm Closed now
Harbor’s Restaurant,4.5,$$$,"American, chicken wings",+52 222 248 5539,"Av. Juárez 2707, Col. La Paz",72160,Heróica Puebla de Zaragoza,Puebla,MX,harbors.mx,Mon 1:00 pm - 12:00 am; Tue 1:00 pm - 12:00 am; Wed 1:00 pm - 12:00 am; Thu 1:00 pm - 12:00 am; Fri 1:00 pm - 12:00 am; Sat 1:00 pm - 12:00 am; Sun 1:00 pm - 8:00 pm Closed now
Heaven’s Steak,3.0,,"American, chicken wings",+52 55 5586 1286,"Av. Montevideo 363 Loc. 202, Col Lindavista",07300,"México, D.F.",,MX,,
Holiday Inn Cuernavaca,,,"American, chicken wings",+52 777 362 0203,"Blvd. Gustavo Díaz Ordaz 86, Col. Acapantzingo",62440,Cuernavaca,Morelos,MX,ihg.com/holidayinn/hotels/us/\u2026,
Hooters,5.0,,"American, chicken wings",,"Av. Moliere 353, Col. Polanco",11540,Ciudad de México,D.F.,MX,hooters.com.mx,Mon 1:00 pm - 12:00 am; Tue 1:00 pm - 12:00 am; Wed 1:00 pm - 12:00 am; Thu 12:00 pm - 1:00 am; Fri 12:00 pm - 1:00 am; Sat 12:00 pm - 1:00 am; Sun 11:30 am - 10:30 pm Open now
Hooters Universidad,3.0,$$,"American, chicken wings",,Av. Universidad 734,03650,"México, D.F.",,MX,,
IHOP,3.5,$$,"American, chicken wings",+52 664 625 6411,"Plaza Real, Blvd. Manuel J. Clouthier 16702, Col. Rio Tijuana",22110,Tijuana,Baja California,MX,ihopmexico.com.mx,Mon 7:00 am - 10:00 pm; Tue 7:00 am - 10:00 pm; Wed 7:00 am - 10:00 pm; Thu 7:00 am - 10:00 pm; Fri 7:00 am - 12:00 am; Sat 7:00 am - 12:00 am; Sun 7:00 am - 10:00 pm Closed now
IHOP,4.0,$$,"American, chicken wings",,"Av. Chapultepec #480, Chapultepec",44140,Guadalajara,Jalisco,MX,,
IHOP,3.5,$,"American, chicken wings",+52 33 362 10003,"La Gran Plaza Fashion Mall, Av. Ignacio L. Vallarta 3959",45049,Zapopan,Jalisco,MX,ihopmexico.com.mx/site,
IHOP,4.0,$$,"American, chicken wings",,"Av. José Vasconcelos S/N, Valle Alianza 66265, San Pedro Garza García",,Monterrey,Nuevo León,MX,ihopmexico.com.mx,
IHOP,3.0,,"American, chicken wings",+52 81 888 00246,Av. Alfonso Reyes,,Monterrey,Nuevo León,MX,,
IHOP,3.0,$$,"American, chicken wings",+52 55 9000 9544,"Paseo de las Palmas 275, Col. Lomas de Chapultepec",11000,Miguel Hidalgo,D.F.,MX,ihopmexico.com,
IHOP,4.5,$$,"American, chicken wings",,"Av. Popocatépetl 546, Col. Pueblo Xoco",03330,"México, D.F.",,MX,ihopmexico.com.mx,Mon 7:00 am - 10:00 pm; Tue 7:00 am - 10:00 pm; Wed 7:00 am - 10:00 pm; Thu 7:00 am - 10:00 pm; Fri 7:00 am - 11:00 pm; Sat 7:00 am - 11:00 pm; Sun 7:00 am - 10:00 pm Open now
J&G Grill,4.0,$$$,"American, chicken wings",+52 55 5228 1935,Paseo de la Reforma 439,06500,"México, D.F.",,MX,starwoodhotels.com/stregis/pr\u2026,Mon 1:00 pm - 12:00 am; Tue 1:00 pm - 12:00 am; Wed 1:00 pm - 12:00 am; Thu 1:00 pm - 12:00 am; Fri 1:00 pm - 12:00 am; Sat 1:00 pm - 12:00 am; Sun 9:00 am - 12:00 am Open now
Jack’s Bar & Grill,2.5,$$,"American, chicken wings",,Marina Golden Zone,23450,Cabo San Lucas,Baja California Sur,MX,,
Jesse James,5.0,$$,"American, chicken wings",+52 55 5562 7554,"Circuito Médicos 15, Ciudad Satélite",53100,Naucalpan de Juárez,México,MX,,Mon 2:00 pm - 12:00 am; Tue 2:00 pm - 12:00 am; Wed 2:00 pm - 12:00 am; Thu 2:00 pm - 12:00 am; Fri 2:00 pm - 12:00 am; Sat 2:00 pm - 12:00 am; Sun 2:00 pm - 11:00 pm Closed now
